%Frame Number	Image Center x	Image Center y	World Center x	World Center y	Area	Orientation	Compactness
0	884.007	366.938	0	0	934	-0.694655	0.354844
1	884.166	366.738	0	0	944.5	-0.696977	0.362528
2	883.985	367.028	0	0	947.5	-0.696434	0.367033
3	884.531	366.699	0	0	992.5	-0.704667	0.361401
4	884.619	366.858	0	0	993.5	-0.704885	0.366373
5	884.676	367.032	0	0	1007.5	-0.704796	0.381153
6	884.685	366.976	0	0	1000	-0.704985	0.375895
7	884.735	366.927	0	0	995.5	-0.703601	0.371816
8	884.574	367.318	0	0	991.5	-0.706848	0.365635
9	884.563	367.338	0	0	992.5	-0.707029	0.366004
10	883.411	368.676	0	0	951.5	-0.738292	0.373426
11	876.727	375.215	0	0	892	-0.868235	0.397786
12	867.348	386.376	0	0	943.5	-0.742478	0.392661
13	867.348	386.376	0	0	943.5	-0.742478	0.392661
14	859.504	393.664	0	0	974.5	-0.770752	0.385404
15	853.124	399.201	0	0	997.5	-0.794738	0.36922
16	847.773	403.952	0	0	1028	-0.815622	0.35909
17	843.573	407.717	0	0	1030	-0.818857	0.362953
18	840.32	410.215	0	0	1033	-0.822957	0.369923
19	840.363	410.194	0	0	1032.5	-0.822131	0.367441
20	837.76	412.5	0	0	1048.5	-0.812757	0.365316
21	835.529	414.167	0	0	1053.5	-0.800816	0.367058
22	833.423	415.669	0	0	1055	-0.784461	0.368522
23	832.253	416.723	0	0	1052.5	-0.765795	0.36993
24	830.82	417.829	0	0	1058.5	-0.746585	0.359863
25	830.841	417.833	0	0	1057	-0.746009	0.361553
26	829.837	418.964	0	0	1049.5	-0.74478	0.368876
27	829.635	419.728	0	0	1034.5	-0.742292	0.374734
28	830.199	419.673	0	0	1045.5	-0.738657	0.375371
29	830.129	419.867	0	0	1036.5	-0.735273	0.367521
30	830.191	419.937	0	0	1032	-0.737782	0.368214
31	830.192	419.897	0	0	1033.5	-0.737718	0.371062
32	830.241	419.903	0	0	1037.5	-0.737881	0.372499
33	829.976	419.962	0	0	1033	-0.739101	0.371847
34	829.918	419.772	0	0	1034	-0.735534	0.381724
35	830.208	419.301	0	0	1049.5	-0.740992	0.378193
36	829.985	419.484	0	0	1056.5	-0.741466	0.366776
37	829.993	419.484	0	0	1057.5	-0.741395	0.367123
38	829.999	419.328	0	0	1056	-0.739875	0.378159
39	829.999	419.328	0	0	1056	-0.739875	0.378159
40	830.002	419.318	0	0	1057	-0.739929	0.378517
41	830.002	419.318	0	0	1057	-0.739929	0.378517
42	830.055	419.272	0	0	1058.5	-0.740797	0.376694
43	830.02	419.289	0	0	1058.5	-0.741161	0.376694
44	829.998	419.375	0	0	1056	-0.739973	0.378159
45	830.112	419.37	0	0	1052	-0.740836	0.376727
46	830.179	419.396	0	0	1049.5	-0.739925	0.373491
47	830.274	419.404	0	0	1050.5	-0.739177	0.369227
48	829.54	420.318	0	0	1025	-0.741557	0.3804
49	829.522	420.318	0	0	1022.5	-0.741827	0.386828
50	829.545	420.405	0	0	1032	-0.742329	0.398063
51	829.566	420.346	0	0	1029.5	-0.741116	0.394533
52	829.59	420.388	0	0	1045	-0.741133	0.385785
53	829.905	419.865	0	0	1040	-0.741262	0.379108
54	829.863	419.847	0	0	1037	-0.741236	0.373287
55	829.872	419.847	0	0	1036	-0.741326	0.372927
56	829.838	419.77	0	0	1043.5	-0.740914	0.377994
57	829.681	419.737	0	0	1050.5	-0.739782	0.385363
58	829.628	419.704	0	0	1042	-0.739581	0.379837
59	829.643	419.69	0	0	1045	-0.73905	0.38093
60	829.624	419.408	0	0	1057.5	-0.742267	0.379679
61	829.61	419.411	0	0	1057	-0.742211	0.386733
62	829.665	419.371	0	0	1053	-0.742862	0.380443
63	829.732	419.36	0	0	1051	-0.743052	0.384538
64	830.01	419.223	0	0	1056.5	-0.743533	0.380716
65	829.977	419.297	0	0	1051	-0.742965	0.376368
66	830.065	419.376	0	0	1048	-0.740574	0.370642
67	829.818	419.695	0	0	1046	-0.738016	0.381295
68	829.78	419.823	0	0	1055	-0.740157	0.384575
69	829.63	420.041	0	0	1063	-0.741951	0.379275
70	829.655	420.051	0	0	1064	-0.741981	0.384417
71	829.243	420.459	0	0	1049.5	-0.74094	0.393456
72	829.654	420.194	0	0	1063.5	-0.74416	0.377095
73	829.681	420.176	0	0	1064.5	-0.743788	0.377449
74	830.02	419.883	0	0	1076	-0.74311	0.372594
75	829.775	420.035	0	0	1068.5	-0.747159	0.375554
76	829.759	419.921	0	0	1067	-0.745125	0.377362
77	829.863	419.624	0	0	1067	-0.741292	0.390392
78	830.101	419.219	0	0	1065	-0.740679	0.386199
79	830.087	419.223	0	0	1064	-0.740852	0.385836
80	830.03	419.193	0	0	1055.5	-0.741503	0.385175
81	829.999	419.176	0	0	1061	-0.742138	0.384748
82	829.985	419.185	0	0	1061.5	-0.74151	0.382518
83	830.013	419.124	0	0	1061.5	-0.741472	0.382518
84	829.764	419.439	0	0	1055	-0.742449	0.386001
85	829.727	419.496	0	0	1052	-0.741688	0.384904
86	829.819	419.582	0	0	1061	-0.74182	0.383333
87	829.647	419.786	0	0	1055	-0.73928	0.389476
88	829.944	419.811	0	0	1060.5	-0.742403	0.384152
89	830.155	419.711	0	0	1087.5	-0.744101	0.383624
90	830.239	419.747	0	0	1083	-0.744546	0.384419
91	830.239	419.747	0	0	1083	-0.744546	0.384419
92	830.221	419.756	0	0	1085.5	-0.743998	0.387718
93	830.217	419.75	0	0	1086.5	-0.744012	0.388075
94	830.207	419.755	0	0	1087	-0.744066	0.385839
95	830.202	419.735	0	0	1090	-0.744196	0.386904
96	830.098	419.731	0	0	1088	-0.742768	0.381428
97	830.032	419.762	0	0	1091.5	-0.743234	0.385035
98	830.263	419.377	0	0	1082.5	-0.736532	0.385235
99	830.243	419.346	0	0	1081	-0.736228	0.387112
100	830.262	419.272	0	0	1080	-0.736318	0.386753
101	830.182	419.314	0	0	1077	-0.737271	0.380899
102	830.158	419.278	0	0	1077.5	-0.736932	0.383456
103	830.193	419.14	0	0	1082.5	-0.738286	0.380475
104	830.163	419.139	0	0	1083	-0.737566	0.383021
105	830.176	419.123	0	0	1081	-0.736441	0.382313
106	830.1	419.386	0	0	1086	-0.736661	0.37935
107	830.094	419.623	0	0	1095.5	-0.742303	0.381691
108	830.325	419.479	0	0	1088	-0.739091	0.384789
109	830.312	419.537	0	0	1091.5	-0.739076	0.383638
110	830.288	419.596	0	0	1095	-0.738348	0.387265
111	830.129	419.79	0	0	1101	-0.740286	0.385986
112	830.166	419.82	0	0	1098.5	-0.741288	0.382736
113	829.833	420.167	0	0	1083.5	-0.740277	0.379447
114	829.847	420.151	0	0	1083	-0.740376	0.38163
115	830.28	419.76	0	0	1098.5	-0.74091	0.378056
116	830.279	419.772	0	0	1096.5	-0.741443	0.38204
117	830.335	419.671	0	0	1097.5	-0.740845	0.382388
118	830.364	419.449	0	0	1084.5	-0.736591	0.385947
119	830.31	419.299	0	0	1081.5	-0.739492	0.384879
120	830.237	419.291	0	0	1078	-0.738463	0.381252
121	830.22	419.278	0	0	1077	-0.738228	0.376206
122	830.195	419.251	0	0	1080.5	-0.737919	0.384523
123	830.195	419.267	0	0	1078.5	-0.737779	0.383812
124	830.198	419.251	0	0	1077	-0.7376	0.380899
125	830.21	419.21	0	0	1081.5	-0.738008	0.380123
126	830.197	419.295	0	0	1086.5	-0.739852	0.377191
127	830.202	419.461	0	0	1086.5	-0.738023	0.377191
128	830.214	419.454	0	0	1084.5	-0.738439	0.376497
129	830.242	419.46	0	0	1088.5	-0.738199	0.382584
130	830.3	419.643	0	0	1089.5	-0.741605	0.374959
131	830.341	419.637	0	0	1089.5	-0.740479	0.374959
132	830.421	419.756	0	0	1095	-0.742569	0.383882
133	830.425	419.711	0	0	1094	-0.742764	0.383532
134	830.438	419.726	0	0	1093.5	-0.742009	0.38574
135	830.42	419.725	0	0	1095.5	-0.741832	0.386446
136	830.198	419.928	0	0	1091	-0.739919	0.390693
137	830.367	419.734	0	0	1097.5	-0.741396	0.387151
138	830.157	419.701	0	0	1079	-0.735786	0.384983
139	829.882	419.78	0	0	1077.5	-0.735731	0.395268
140	829.887	419.775	0	0	1075.5	-0.736442	0.394534
141	829.719	419.775	0	0	1070.5	-0.735796	0.387774
142	829.691	419.752	0	0	1067.5	-0.735248	0.386688
143	829.672	419.729	0	0	1072	-0.735906	0.390772
144	829.907	419.384	0	0	1083.5	-0.738473	0.389014
145	829.985	419.384	0	0	1076.5	-0.738623	0.386501
146	829.96	419.436	0	0	1077	-0.73852	0.38427
147	829.987	419.411	0	0	1075	-0.738511	0.383556
148	830.026	419.384	0	0	1070.5	-0.738971	0.379577
149	830.017	419.519	0	0	1083	-0.74057	0.38641
150	829.901	419.733	0	0	1076	-0.73716	0.387326
151	829.993	419.764	0	0	1082.5	-0.735946	0.392121
152	829.956	419.782	0	0	1080.5	-0.736514	0.391397
153	829.859	420.146	0	0	1092.5	-0.741538	0.397206
154	829.758	420.251	0	0	1086.5	-0.738318	0.38525
155	829.777	420.242	0	0	1085	-0.738321	0.387124
156	830.07	419.854	0	0	1094.5	-0.742378	0.367607
157	830.074	419.861	0	0	1097	-0.743168	0.379866
158	830.089	419.832	0	0	1099	-0.743555	0.380559
159	830.066	419.874	0	0	1095	-0.742896	0.379174
160	830.087	419.677	0	0	1090	-0.741753	0.386904
161	830.119	419.532	0	0	1087	-0.741923	0.381078
162	830.332	419.113	0	0	1081	-0.738656	0.387112
163	830.239	419.082	0	0	1077.5	-0.73794	0.388283
164	830.238	419.082	0	0	1075.5	-0.737304	0.382744
165	830.185	419.097	0	0	1078.5	-0.73634	0.379069
166	830.175	419.085	0	0	1084.5	-0.737705	0.381178
167	830.337	418.928	0	0	1090.5	-0.738898	0.375303
168	830.129	419.291	0	0	1094.5	-0.740223	0.37533
169	830.105	419.315	0	0	1094	-0.739854	0.372873
170	830.116	419.357	0	0	1099.5	-0.739309	0.377045
171	830.128	419.41	0	0	1096.5	-0.739401	0.380662
172	830.176	419.428	0	0	1093.5	-0.73891	0.379621
173	830.261	419.479	0	0	1088	-0.739283	0.384789
174	830.338	419.479	0	0	1092	-0.738775	0.386204
175	830.356	419.474	0	0	1091	-0.7391	0.38585
176	830.323	419.515	0	0	1088.5	-0.738156	0.38737
177	830.309	419.509	0	0	1090.5	-0.738064	0.388082
178	830.122	419.722	0	0	1101	-0.740379	0.390809
179	830.367	419.457	0	0	1090	-0.739653	0.390335
180	830.235	419.329	0	0	1088.5	-0.739423	0.377885
181	829.858	419.408	0	0	1090.5	-0.738803	0.381899
182	829.859	419.407	0	0	1089.5	-0.738723	0.381549
183	829.994	419.219	0	0	1095	-0.73784	0.387265
184	829.927	419.232	0	0	1099.5	-0.738143	0.38645
185	830.13	418.996	0	0	1108	-0.740235	0.383675
186	830.126	418.954	0	0	1098.5	-0.74057	0.378056
187	830.192	418.94	0	0	1104.5	-0.739842	0.380121
188	830.192	418.94	0	0	1104.5	-0.739842	0.380121
189	829.945	419.245	0	0	1085.5	-0.740062	0.389732
190	829.995	419.27	0	0	1089.5	-0.740419	0.391168
191	830.144	419.419	0	0	1080	-0.740619	0.395148
192	830.341	419.364	0	0	1088.5	-0.738875	0.382584
193	830.186	419.602	0	0	1103.5	-0.740791	0.389268
194	830.163	419.622	0	0	1101.5	-0.740584	0.388562
195	829.777	420.026	0	0	1085.5	-0.73878	0.394661
196	829.766	420.029	0	0	1086	-0.738493	0.392366
197	829.775	420.029	0	0	1087	-0.738401	0.392727
198	829.804	419.987	0	0	1089	-0.738479	0.39345
199	829.713	420.062	0	0	1086	-0.739935	0.392366
200	829.747	420.011	0	0	1086.5	-0.739896	0.395025
201	830.049	419.541	0	0	1077	-0.739466	0.389114
202	830.175	419.455	0	0	1083	-0.739852	0.387828
203	830.139	419.318	0	0	1078	-0.737131	0.381252
204	829.955	419.4	0	0	1068.5	-0.740534	0.38848
205	830.169	419.258	0	0	1075	-0.738265	0.384963
206	830.169	419.258	0	0	1075	-0.738265	0.384963
207	829.984	419.466	0	0	1065	-0.739003	0.384778
208	830.026	419.445	0	0	1070.5	-0.739001	0.389207
209	829.994	419.564	0	0	1071	-0.739557	0.386946
210	830.04	419.65	0	0	1075.5	-0.739712	0.391025
211	830.104	419.623	0	0	1079.5	-0.738674	0.387578
212	830.054	419.755	0	0	1086	-0.738923	0.380727
213	829.719	420.079	0	0	1072.5	-0.738671	0.385065
214	829.85	420.05	0	0	1075.5	-0.73854	0.386142
215	829.853	420.085	0	0	1078.5	-0.738009	0.387219
216	829.829	420.212	0	0	1072.5	-0.739382	0.380286
217	829.963	420.091	0	0	1075	-0.739609	0.393319
218	829.929	420.093	0	0	1073.5	-0.740024	0.390298
219	829.924	420.11	0	0	1075	-0.740234	0.393319
220	829.969	420.023	0	0	1075.5	-0.740338	0.391025
221	829.76	419.947	0	0	1068.5	-0.740606	0.393424
222	829.898	419.677	0	0	1068	-0.73708	0.394276
223	829.902	419.668	0	0	1067.5	-0.736905	0.396606
224	829.926	419.659	0	0	1065	-0.736616	0.393168
225	829.973	419.518	0	0	1075	-0.737541	0.388391
226	829.871	419.531	0	0	1074	-0.739274	0.378458
227	829.874	419.48	0	0	1074.5	-0.73941	0.380995
228	829.878	419.454	0	0	1077.5	-0.738056	0.38686
229	829.628	419.683	0	0	1055	-0.737861	0.389476
230	829.671	419.653	0	0	1056.5	-0.73731	0.387564
231	829.818	419.631	0	0	1054.5	-0.736095	0.386831
232	829.799	419.723	0	0	1048.5	-0.735561	0.389547
233	829.975	419.676	0	0	1050	-0.738166	0.377967
234	829.966	419.747	0	0	1045.5	-0.736036	0.378718
235	829.925	419.836	0	0	1049	-0.7359	0.382388
236	829.962	419.9	0	0	1052.5	-0.734484	0.386097
237	829.834	420.242	0	0	1062	-0.740695	0.388562
238	829.834	420.242	0	0	1062	-0.740695	0.388562
239	829.746	420.272	0	0	1067	-0.742167	0.385501
240	829.539	420.361	0	0	1061	-0.73684	0.381926
241	829.641	420.208	0	0	1066.5	-0.740111	0.382911
242	829.641	420.208	0	0	1066.5	-0.740111	0.382911
243	829.658	420.08	0	0	1067.5	-0.74029	0.38327
244	829.69	419.946	0	0	1061	-0.738787	0.388196
245	829.736	419.855	0	0	1062.5	-0.739014	0.386299
246	829.973	419.453	0	0	1053.5	-0.740577	0.383027
247	829.964	419.45	0	0	1056	-0.741672	0.386367
248	829.964	419.45	0	0	1056	-0.741672	0.386367
249	829.986	419.431	0	0	1055.5	-0.742652	0.383754
250	829.993	419.414	0	0	1054.5	-0.742356	0.38339
251	829.98	419.459	0	0	1052	-0.73964	0.380082
252	830.037	419.64	0	0	1070	-0.738602	0.375118
253	830.083	419.664	0	0	1076.5	-0.739576	0.379743
254	830.045	419.704	0	0	1082	-0.73971	0.384064
255	830.071	419.696	0	0	1080.5	-0.739661	0.381154
256	830.129	419.789	0	0	1086.5	-0.738458	0.373927
257	829.924	420.083	0	0	1076	-0.735919	0.380545
258	830.254	419.962	0	0	1087.5	-0.740774	0.374271
259	830.174	419.99	0	0	1083.5	-0.740132	0.37751
260	830.083	419.943	0	0	1080.5	-0.741561	0.376465
261	830.05	420.057	0	0	1076.5	-0.737018	0.378366
262	829.885	420.067	0	0	1072	-0.740004	0.37913
263	829.715	420.097	0	0	1060.5	-0.740183	0.380756
264	830.068	419.588	0	0	1070	-0.73863	0.370517
265	829.856	419.533	0	0	1057.5	-0.737134	0.387931
266	829.827	419.547	0	0	1056	-0.737542	0.38494
267	829.96	419.302	0	0	1057	-0.736339	0.381888
268	825.031	424.161	0	0	1026.5	-0.671078	0.377139
269	820.155	429.236	0	0	1045.5	-0.575682	0.35906
270	814.868	433.48	0	0	1017	-0.545282	0.374631
271	811.13	436.264	0	0	1017.5	-0.523646	0.375802
272	812.905	434.982	0	0	1082	-0.547047	0.292686
273	809.414	437.425	0	0	1072	-0.538606	0.298709
274	806.727	439.329	0	0	1046	-0.528076	0.369147
275	807.724	438.453	0	0	1072.5	-0.549259	0.288545
276	805.344	440.08	0	0	1051	-0.536298	0.36317
277	804.696	440.312	0	0	1059.5	-0.533989	0.368368
278	804.652	440.309	0	0	1057.5	-0.534852	0.367672
279	803.961	440.691	0	0	1056	-0.523736	0.364898
280	803.619	441.226	0	0	1073.5	-0.53016	0.368676
281	804.195	441.128	0	0	1067	-0.523756	0.361084
282	804.399	440.992	0	0	1060	-0.520833	0.36182
283	804.677	440.813	0	0	1051	-0.519278	0.36317
284	804.521	440.841	0	0	1055	-0.517386	0.364553
285	804.715	440.487	0	0	1049.5	-0.519586	0.357331
286	804.535	440.478	0	0	1051	-0.519987	0.351382
287	804.335	440.491	0	0	1064	-0.51928	0.364488
288	804.572	440.309	0	0	1050.5	-0.515489	0.360777
289	804.561	440.31	0	0	1051	-0.515284	0.358748
290	804.561	440.31	0	0	1051	-0.515284	0.358748
291	804.613	440.266	0	0	1058.5	-0.515123	0.363525
292	804.626	440.285	0	0	1050	-0.513595	0.358407
293	804.477	440.574	0	0	1049	-0.508121	0.36565
294	804.417	440.719	0	0	1064.5	-0.516871	0.362438
295	804.279	441.048	0	0	1065.5	-0.514411	0.370454
296	804.279	441.048	0	0	1065.5	-0.514411	0.370454
297	804.329	441.111	0	0	1062.5	-0.514274	0.369411
298	804.443	441.115	0	0	1064.5	-0.512594	0.370106
299	804.618	441.201	0	0	1057.5	-0.510657	0.367672
300	804.806	441.102	0	0	1050	-0.513258	0.362825
301	804.817	441.082	0	0	1049.5	-0.513944	0.364891
302	804.833	440.953	0	0	1046.5	-0.511789	0.363848
303	804.833	440.953	0	0	1046.5	-0.511789	0.363848
304	804.781	440.865	0	0	1045.5	-0.511682	0.3635
305	804.85	440.657	0	0	1062	-0.515706	0.363803
306	804.622	440.648	0	0	1068.5	-0.514529	0.36828
307	804.878	440.308	0	0	1057	-0.512035	0.365244
308	804.045	440.765	0	0	1050	-0.511161	0.370559
309	804.015	440.773	0	0	1051	-0.510688	0.370912
310	804.044	440.743	0	0	1051	-0.510691	0.370912
311	804.018	440.74	0	0	1051	-0.510279	0.370912
312	804.219	440.581	0	0	1062	-0.511163	0.366971
313	804.234	440.738	0	0	1062.5	-0.513173	0.369411
314	804.261	440.808	0	0	1067.5	-0.51183	0.371149
315	804.261	440.808	0	0	1067.5	-0.51183	0.371149
316	804.711	440.696	0	0	1050.5	-0.515465	0.368443
317	804.749	440.805	0	0	1054	-0.517431	0.37197
318	804.782	440.902	0	0	1052	-0.515753	0.366696
319	804.711	441.095	0	0	1059.5	-0.51254	0.368368
320	804.66	441.058	0	0	1065	-0.511425	0.372573
321	804.66	441.058	0	0	1065	-0.511425	0.372573
322	804.638	441.139	0	0	1064.5	-0.510175	0.370106
323	804.746	440.998	0	0	1054.5	-0.513195	0.369846
324	804.492	440.906	0	0	1055	-0.512781	0.355754
325	804.439	440.893	0	0	1057	-0.512972	0.356429
326	804.358	440.891	0	0	1071	-0.515324	0.365575
327	804.34	440.887	0	0	1071.5	-0.514042	0.367989
328	804.568	440.536	0	0	1074	-0.513465	0.367914
329	803.98	440.713	0	0	1054.5	-0.512093	0.369846
330	804.237	440.558	0	0	1062.5	-0.512789	0.364898
331	804.498	440.395	0	0	1072	-0.514933	0.362776
332	803.836	440.716	0	0	1033	-0.497379	0.372981
333	803.768	440.746	0	0	1030	-0.498194	0.36727
334	794.201	445.842	0	0	952	-0.0899577	0.388671
335	785.995	447.069	0	0	957	0.063561	0.357924
336	782.759	447.27	0	0	1028.5	0.0909418	0.293369
337	776.769	446.833	0	0	1044.5	0.1475	0.29656
338	772.073	446.564	0	0	1055.5	0.188366	0.294064
339	772.162	446.546	0	0	1047.5	0.18949	0.291835
340	769.58	446.173	0	0	1072	0.202583	0.290205
341	763.482	445.369	0	0	1001.5	0.254628	0.344249
342	761.403	445.056	0	0	1003.5	0.260851	0.347946
343	756.206	444.105	0	0	924	0.151028	0.357297
344	739.729	444.883	0	0	1005.5	-0.452969	0.365903
345	739.689	444.941	0	0	1009.5	-0.454485	0.367358
346	727.752	449.666	0	0	1071.5	-0.566014	0.357341
347	718.554	454.032	0	0	1088	-0.59541	0.358871
348	714.382	455.863	0	0	1117	-0.597147	0.353784
349	706.754	459.756	0	0	1105	-0.601074	0.361404
350	700.909	462.565	0	0	1106.5	-0.597743	0.362792
351	700.932	462.598	0	0	1107.5	-0.596876	0.367507
352	696.089	464.976	0	0	1122	-0.599088	0.349527
353	692.02	466.755	0	0	1106.5	-0.596575	0.371637
354	688.842	468.116	0	0	1105.5	-0.585451	0.369987
355	686.331	469.186	0	0	1115	-0.575024	0.363401
356	685.308	469.323	0	0	1107.5	-0.5653	0.358812
357	685.305	469.339	0	0	1108.5	-0.565004	0.3549
358	683.734	469.831	0	0	1109.5	-0.554194	0.362504
359	682.744	470.211	0	0	1111.5	-0.554717	0.363157
360	682.417	470.455	0	0	1108.5	-0.550424	0.359136
361	682.982	470.353	0	0	1103.5	-0.549249	0.360543
362	683.026	470.39	0	0	1097	-0.551012	0.356287
363	683.018	470.367	0	0	1099	-0.550997	0.356937
364	683.121	470.295	0	0	1096	-0.551548	0.355963
365	682.789	470.386	0	0	1086	-0.556152	0.36
366	682.716	470.329	0	0	1089	-0.556992	0.356688
367	682.877	470.137	0	0	1101.5	-0.555074	0.36423
368	683.068	469.837	0	0	1099	-0.551186	0.359963
369	683.068	469.837	0	0	1099	-0.551186	0.359963
370	682.844	469.751	0	0	1099	-0.558074	0.364309
371	682.84	469.741	0	0	1098.5	-0.557846	0.361962
372	682.754	469.815	0	0	1105	-0.556121	0.366298
